,filepath,emo,emo_intensity,statement,actor,emo_1,emo_2,emo_3,emo_4,emo_5,emo_6
0,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,1,0.0,12,1,1,0,0,0,0,0
1,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-02-01.wav,1,0.0,12,1,1,0,0,0,0,0
2,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-01-01.wav,1,0.0,13,1,1,0,0,0,0,0
3,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-02-02-01.wav,1,0.0,13,1,1,0,0,0,0,0
4,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-01-01.wav,3,0.0,12,1,0,0,1,0,0,0
5,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-01-02-01.wav,3,0.0,12,1,0,0,1,0,0,0
6,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-01-01.wav,3,0.0,13,1,0,0,1,0,0,0
7,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-01-02-02-01.wav,3,0.0,13,1,0,0,1,0,0,0
8,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-01-01.wav,3,1.0,12,1,0,0,1,0,0,0
9,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-01-02-01.wav,3,1.0,12,1,0,0,1,0,0,0
10,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-01-01.wav,3,1.0,13,1,0,0,1,0,0,0
11,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-03-02-02-02-01.wav,3,1.0,13,1,0,0,1,0,0,0
12,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-01-01.wav,4,0.0,12,1,0,0,0,1,0,0
13,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-01-02-01.wav,4,0.0,12,1,0,0,0,1,0,0
14,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-01-01.wav,4,0.0,13,1,0,0,0,1,0,0
15,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-01-02-02-01.wav,4,0.0,13,1,0,0,0,1,0,0
16,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-01-01.wav,4,1.0,12,1,0,0,0,1,0,0
17,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-01-02-01.wav,4,1.0,12,1,0,0,0,1,0,0
18,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-01-01.wav,4,1.0,13,1,0,0,0,1,0,0
19,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-04-02-02-02-01.wav,4,1.0,13,1,0,0,0,1,0,0
20,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-01-01.wav,5,0.0,12,1,0,0,0,0,1,0
21,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-01-02-01.wav,5,0.0,12,1,0,0,0,0,1,0
22,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-01-01.wav,5,0.0,13,1,0,0,0,0,1,0
23,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-01-02-02-01.wav,5,0.0,13,1,0,0,0,0,1,0
24,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-01-01.wav,5,1.0,12,1,0,0,0,0,1,0
25,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-01-02-01.wav,5,1.0,12,1,0,0,0,0,1,0
26,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-01-01.wav,5,1.0,13,1,0,0,0,0,1,0
27,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-05-02-02-02-01.wav,5,1.0,13,1,0,0,0,0,1,0
28,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-01-01.wav,6,0.0,12,1,0,0,0,0,0,1
29,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-01-02-01.wav,6,0.0,12,1,0,0,0,0,0,1
30,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-01-01.wav,6,0.0,13,1,0,0,0,0,0,1
31,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-01-02-02-01.wav,6,0.0,13,1,0,0,0,0,0,1
32,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-01-01.wav,6,1.0,12,1,0,0,0,0,0,1
33,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-01-02-01.wav,6,1.0,12,1,0,0,0,0,0,1
34,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-01-01.wav,6,1.0,13,1,0,0,0,0,0,1
35,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-06-02-02-02-01.wav,6,1.0,13,1,0,0,0,0,0,1
36,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-01-01.wav,2,0.0,12,1,0,1,0,0,0,0
37,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-01-02-01.wav,2,0.0,12,1,0,1,0,0,0,0
38,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-01-01.wav,2,0.0,13,1,0,1,0,0,0,0
39,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-01-02-02-01.wav,2,0.0,13,1,0,1,0,0,0,0
40,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-01-01.wav,2,1.0,12,1,0,1,0,0,0,0
41,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-01-02-01.wav,2,1.0,12,1,0,1,0,0,0,0
42,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-01-01.wav,2,1.0,13,1,0,1,0,0,0,0
43,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_01/03-01-07-02-02-02-01.wav,2,1.0,13,1,0,1,0,0,0,0
44,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,1,0.0,12,2,1,0,0,0,0,0
45,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-02-02.wav,1,0.0,12,2,1,0,0,0,0,0
46,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-01-02.wav,1,0.0,13,2,1,0,0,0,0,0
47,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-02-02-02.wav,1,0.0,13,2,1,0,0,0,0,0
48,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-01-02.wav,3,0.0,12,2,0,0,1,0,0,0
49,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-01-02-02.wav,3,0.0,12,2,0,0,1,0,0,0
50,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-01-02.wav,3,0.0,13,2,0,0,1,0,0,0
51,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-01-02-02-02.wav,3,0.0,13,2,0,0,1,0,0,0
52,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-01-02.wav,3,1.0,12,2,0,0,1,0,0,0
53,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-01-02-02.wav,3,1.0,12,2,0,0,1,0,0,0
54,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-01-02.wav,3,1.0,13,2,0,0,1,0,0,0
55,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-03-02-02-02-02.wav,3,1.0,13,2,0,0,1,0,0,0
56,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-01-02.wav,4,0.0,12,2,0,0,0,1,0,0
57,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-01-02-02.wav,4,0.0,12,2,0,0,0,1,0,0
58,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-01-02.wav,4,0.0,13,2,0,0,0,1,0,0
59,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-01-02-02-02.wav,4,0.0,13,2,0,0,0,1,0,0
60,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-01-02.wav,4,1.0,12,2,0,0,0,1,0,0
61,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-01-02-02.wav,4,1.0,12,2,0,0,0,1,0,0
62,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-01-02.wav,4,1.0,13,2,0,0,0,1,0,0
63,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-04-02-02-02-02.wav,4,1.0,13,2,0,0,0,1,0,0
64,../data/listenr-ml/RAVDESS-Audio_Speech_Actors_01-24/Actor_02/03-01-05-01-01-01-02.wav,5,0.0,12,2,0,0,0,0,1,0
